censusGroup2010,long,lat,pop_2010,Density(1000p/sqm),area(sqm),PLx2_Pop,PLx2_Pct,Avgtempreductionnight_w808pm,Green_P,Imp_P,MFor_P
371350107033,-79.08161311,35.90530426,1638,6.174817451,10.11435098,1579,72.19935985,0.295515,50.43999863,48.49000168,19.75
371350107034,-79.07538607,35.90596098,1141,2.338953518,2.668745964,502,58.85111372,0.755946,73.58000183,25.94000053,53.27000046
371350107041,-79.09037983,35.90070863,1373,1.183362594,1.624756842,330,35.63714903,0.752905,78.05000305,21.53000069,63.68000031
371350107042,-79.08729273,35.8898653,2023,0.723109995,1.46285152,921,41.02449889,0.930816,84.62999725,11.96000004,68.30000305
371350107051,-79.0893357,35.92108659,1812,0.883589088,1.601063428,569,29.17948718,0.886934,80.41000366,18.85000038,62.11000061
371350107052,-79.07410599,35.92006031,1452,1.822886262,2.646830852,921,71.50621118,0.909011,77.97000122,21.61000061,61.75999832
371350107053,-79.06878779,35.90787356,1058,1.175880883,1.244081974,301,35.91885442,0.570457,65.01000214,34.52999878,40.25
371350107054,-79.07513353,35.91233007,251,1.218665488,0.305885038,32,21.76870748,0.53505,62.90000153,36.65000153,37.04000092
371350107061,-79.09523927,35.93695029,1482,0.679235736,1.006627361,93,6.512605042,0.891951,85.08999634,13.55000019,63.04000092
371350107062,-79.08102088,35.93542729,1721,0.487518285,0.839018969,53,2.706843718,1.139672,89.18000031,10.19999981,80.31999969
371350109012,-79.03389837,36.06519345,1424,0.077804943,0.110794239,1104,68.65671642,1.261831,93.43000031,5.789999962,88.88999939
371350109021,-79.01295215,36.02695298,1382,0.118751344,0.164114358,605,45.35232384,1.054908,86.62000275,10.64000034,75
371350109022,-79.07882715,36.03370428,3342,0.153790508,0.513967878,607,23.00985595,1.118158,88.43000031,10.46000004,79.68000031
371350110001,-79.08210287,36.09123666,2860,0.319328187,0.913278615,303,11.7396358,0.816382,80.16999817,17.95000076,57.99000168
371350110002,-79.07583765,36.06802991,1360,0.125390381,0.170530919,506,34.99308437,1.002335,84.41000366,14.75,71.19000244
371350110003,-79.10539222,36.07888479,1041,0.555431652,0.57820435,186,21.60278746,0.751791,74.19999695,25.20999908,53.79000092
371350110004,-79.11123321,36.07347412,711,0.351935074,0.250225837,215,41.82879377,0.7655,71.06999969,20.07999992,54.04000092
371350110005,-79.13125081,36.07151326,1210,0.140028858,0.169434918,286,31.63716814,0.99394,83.68000031,11.82999992,70.37999725
371350111023,-79.10887611,36.04834707,1892,0.650563501,1.230866143,966,50.9762533,1.044536,84.37000275,14.81000042,74.73999786
371350112021,-79.09068678,35.95609831,3170,0.378767105,1.200691722,380,13.46085724,1.046813,84.87999725,12.27999973,74.38999939
371350112051,-79.06672769,35.96510476,2467,0.736436816,1.816789625,114,4.362801378,0.790019,71.33000183,26.47999954,55.83000183
371350112052,-79.03275312,35.96297023,2542,0.756586799,1.923243644,246,10.95768374,0.747673,72.38999939,26.09000015,51.20999908
371350112053,-79.01109837,35.95095432,2545,1.405561717,3.577154569,861,44.22187982,0.60679,55.29000092,44.36999893,41.79999924
371350113001,-79.06112661,35.91755449,2926,2.684396281,7.85454352,1689,71.08585859,0.822262,77.86000061,21.54000092,57.61000061
371350114001,-79.04590046,35.92656293,1884,0.687852324,1.295913777,357,22.75334608,1.156149,87.76999664,12.14999962,80.94000244
371350114002,-79.05360914,35.91853932,1950,3.670636601,7.157741373,1282,74.40510737,0.675853,67.5,31.96999931,45.25999832
371350115001,-79.03439056,35.91428411,1812,0.48306912,0.875321246,718,35.59742191,1.050435,81.23000336,18.39999962,75.22000122
371350116011,-79.05119511,35.91340217,556,2.38672705,1.32702024,26,100,0.467075,54.02999878,45.77999878,32.88999939
371350116012,-79.04965692,35.91021633,1794,4.13824602,7.42401336,511,100,0.269164,33.09000015,66.63999939,14.64000034
371350116021,-79.04309904,35.90649278,1723,4.541584626,7.82515031,217,100,0.486198,44.77999878,54.66999817,32.75
371350116022,-79.05008345,35.90494336,1164,1.97643559,2.300571027,115,100,0.162987,21.93000031,76.83000183,10.80000019
371350116023,-79.04404864,35.90016694,2899,4.935526598,14.30809161,1079,87.79495525,0.416423,40.33000183,58.95000076,26.77000046
371350117001,-79.05896635,35.90965866,1998,3.641360608,7.275438494,899,60.57951482,0.365415,50.93999863,48.86000061,28.22999954
371350117002,-79.05817906,35.89983487,2192,1.137376624,2.49312956,1012,56.09756098,0.924401,75.02999878,24.90999985,65.48999786
371350118001,-79.06651689,35.9405322,1213,0.358972917,0.435434149,579,63.97790055,1.069609,88.97000122,10,76.51000214
371350118002,-79.06400732,35.92667699,1973,1.051378462,2.074369706,851,43.66341714,1.077901,85.88999939,13.93000031,77.08000183
371350119011,-79.04872702,35.95583562,2851,0.918112777,2.617539529,333,12.75862069,1.055529,84.83000183,14.40999985,75.61000061
371350119012,-79.04503341,35.94561257,1601,0.914993085,1.464903929,901,46.5392562,1.222715,91.73000336,8.100000381,86.19000244
371350119013,-79.04858851,35.93800534,863,1.038182999,0.895951928,225,34.82972136,1.125369,87.62000275,11.85999966,78.69999695
371350119021,-79.02845695,35.9503089,2584,1.032834876,2.668845319,297,12.13235294,0.903531,81.43000031,18.06999969,69.16999817
371350119022,-79.03369366,35.9380982,1361,0.785974655,1.069711505,167,11.03038309,1.127758,86.54000092,13.42000008,80.02999878
371350121001,-79.01141515,35.9392307,2270,1.020669226,2.316919144,488,24.26653406,0.642349,62.16999817,37.00999832,46.36000061
371350121002,-79.01733808,35.91323711,2595,0.968579216,2.513463064,595,22.52934495,0.712859,65.62000275,33.77999878,50.43999863
371350121003,-79.02627327,35.93015239,921,0.828834439,0.763356518,222,34.20647149,0.496851,44.86000061,54.95999908,33.84999847
371350121004,-79.01341952,35.92652677,1765,0.848682138,1.497923974,199,10.71044133,0.924341,76.77999878,23.03000069,66.30000305
371350122011,-79.0297625,35.88603298,1807,0.136964019,0.247493983,207,11.77474403,0.998756,84.98999786,12.93999958,71.08999634
371350122012,-79.05435273,35.87047935,759,0.113372469,0.086049704,171,16.33237822,1.080361,87.51999664,11.31000042,77.73999786
371350122021,-79.06873474,35.89557033,1525,1.568486282,2.39194158,639,46.33792603,0.916013,78.65000153,20.96999931,65.30999756
371350122022,-79.0741095,35.88745941,1825,1.008779979,1.841023461,268,15.0055991,0.841606,73.27999878,26.51000023,60.15999985
371350122023,-79.07226721,35.87631929,2274,0.811393188,1.845108109,419,19.57943925,0.790708,69.69000244,29.60000038,55.5
,,,,,,,,,,,
,,,340851,,402.0692476,,39.73657191,,,,
